Id,Label,timeset,govn,indegree,outdegree,Degree,Population,modularity_class,componentnumber,strongcompnum,clustering,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Rumah,Rumah,,Ar-Riyad,1,0,1,28055,4,0,89,0,0,0,0,0
Sabya,Sabya,,Jazan,1,2,3,54108,7,0,97,0,2,0.75,0.833333,15
Sakaka,Sakaka,,Al-Jouf,1,1,2,128332,8,0,79,0,1,1,1,2
Samtah,Samtah,,Jazan,1,2,3,32458,5,0,106,0,2,0.625,0.7,20
Sarat-Abidah,Sarat-Abidah,,Aseer,1,0,1,63000,6,0,33,0,0,0,0,0
Shaqra,Shaqra,,Ar-Riyad,1,1,2,26651,9,0,67,0,1,1,1,5
Sharurah,Sharurah,,Najran,1,1,2,85977,6,0,35,0,1,1,1,7
Tabuk,Tabuk,,Tabouk,1,2,3,455450,8,0,85,0,2,0.75,0.833333,6
Tathlith,Tathlith,,Aseer,1,0,1,61291,1,0,11,0,0,0,0,0
Tayma,Tayma,,Tabouk,1,0,1,60000,0,0,62,0,0,0,0,0
Thadiq,Thadiq,,Ar-Riyad,1,2,3,17000,9,0,69,0,2,0.75,0.833333,12
Thar,Thar,,Najran,1,2,3,20000,6,0,110,0,2,0.75,0.833333,18
Turayf,Turayf,,Northern-Borders,1,0,1,40819,8,0,80,0,0,0,0,0
Turubah,Turubah,,Makkah-Al-Mokarramah,1,0,1,23235,1,0,4,0,0,0,0,0
Umluj,Umluj,,Tabouk,1,0,1,33874,10,0,59,0,0,0,0,0
Unayzah,Unayzah,,Al-Qaseem,1,1,2,163729,3,0,95,0,1,1,1,3
Uyun-aljiwa,Uyun-aljiwa,,Al-Qaseem,1,0,1,26544,3,0,91,0,0,0,0,0
Wadi-addawasir,Wadi-addawasir,,Ar-Riyad,1,2,3,106152,1,0,12,0,1,1,1,14
Yadamah,Yadamah,,Najran,1,0,1,17000,6,0,109,0,0,0,0,0
Yanbu-albahr,Yanbu-albahr,,Al-Madinah-Al-Monawarah,1,3,4,200161,10,0,61,0,2,0.8,0.875,16
Zahran-aljanub,Zahran-aljanub,,Aseer,1,0,1,9000,6,0,43,0,0,0,0,0
